line	section	text
4	Methods	Guangzhou, China. 2Department of Musculoskeletal Oncology, First Affiliated Hospital, Sun Yat-Sen University, Guangzhou, China. 3National Institute
5	Methods	of Biological Sciences, Beijing, China. 4Department of Clinical Oncology, The University of Hong Kong, Hong Kong, China. 5School of Materials Science
6	Methods	and Engineering, Sun Yat-sen University, Guangzhou, China. 6Institute of Functional Nano and Soft Materials (FUNSOM) and Collaborative Innovation
7	Methods	Center of Suzhou Nano Science and Technology, Soochow University, Suzhou, China. 7These authors contributed equally: Dan Liao, Li Zhong, Junqiang Yin.
10	Methods	steosarcoma is the most common primary malignant
11	Methods	tumour originating from bone in adolescents and chil-
13	Methods	60–70% 5-yr-survival rate, this number drops to 20% for metastatic
14	Methods	cases1–5. Osteosarcoma is characterized by marked instability of its
16	Methods	mosomal aneuploidy and chromosomal rearrangements6–12. The
20	Methods	varying functions and inactivation of many key tumour suppres-
21	Methods	sor genes including TP536,13 and ATRX7,9,14,15. There are no therapies
22	Methods	for osteosarcoma targeting truncated or fusion proteins, although
24	Methods	gets for other cancer types in the clinic16–19.
25	Methods	Prevailing algorithms that search RNA sequences for struc-
27	Methods	means that very few fusions involving long non-coding RNAs have
29	Methods	from structural variation-induced fusion from cancers including
30	Methods	osteosarcoma are derived from exons only20,21. Nevertheless, chro-
32	Methods	potential to promote metastasis22. Owing to variation in recombina-
33	Methods	tion sites, variations including exon–exon and exon–intron fusions
38	Methods	tion. We identified exon–intron fusion genes that juxtapose amino
39	Methods	acids 1–38 of the trafficking-related Rab22a protein (Rab22a1–38)
40	Methods	with inverted introns and untranslated regions of chromosome 20
43	Methods	promote osteosarcoma lung metastasis—as Rab22a-NeoFs. The
44	Methods	Rab22a1–38 moiety exhibits constitutive binding to SmgGDS-607
45	Methods	to activate RhoA and is sufficient to promote osteosarcoma lung
46	Methods	metastasis. Rab22a-NeoF1-mediated lung metastasis was abrogated
47	Methods	by the tumour-homing and cell-penetrating peptide iRGD, which
48	Methods	targets the interaction with SmgGDS-607.
51	Results	rant Rab22a as the driver for osteosarcoma lung metastasis. To
53	Results	paired-end RNA-sequencing (RNA-seq) analysis of ZOS and
55	Results	sarcoma from the primary site and skip metastases23, respectively,
56	Results	as well as the osteosarcoma cell lines HOS, MNNG-HOS, U2OS,
57	Results	MG63, 143B, U2OS/MTX300 and SaOS224,25; hFOB1.19, the normal
58	Results	human osteoblastic cell line, was used as control. We searched spe-
59	Results	cifically for fusion genes using TopHat-fusion and SQUID, which
62	Results	transcripts related to RAB22A which we called RAB22A-NeoF1–6;
63	Results	these transcripts contain the first two exons of RAB22A, which
64	Results	encode the first 38 amino acids of Rab22a and multiple inverted
65	Results	non-coding regions of chromosome 20 (Fig. 1a). The six fusion
68	Results	Rab22a drives metastasis of osteosarcoma
69	Results	Dan Liao   1,7, Li Zhong   1,7, Junqiang Yin   2,7, Cuiling Zeng   1, Xin Wang1, Xingchuan Huang   3,
70	Results	Jinna Chen   4, Hong Zhang1, Ruhua Zhang1, Xin-Yuan Guan   1,4, Xintao Shuai5, Jianhua Sui   3,
71	Results	Song Gao   1, Wuguo Deng1, Yi-Xin Zeng   1, Jing-Nan Shen   2 ✉, Jian Chen   6 ✉ and Tiebang Kang   1 ✉
72	Results	Osteosarcoma is a type of aggressive malignant bone tumour that frequently metastasizes to lungs, resulting in poor progno-
73	Results	sis. However, the molecular mechanisms of lung metastasis of osteosarcoma remain poorly understood. Here we identify exon–
75	Results	that juxtapose the coding region for amino acids 1–38 of Rab22a (Rab22a1–38) with multiple inverted introns and untranslated
76	Results	regions of chromosome 20. The resulting translation products, designated Rab22a-NeoFs, acquire the ability to drive lung
77	Results	metastasis of osteosarcoma. The Rab22a1–38 moiety governs the function of Rab22a-NeoFs by binding to SmgGDS-607, a GTP–
78	Results	GDP exchange factor of RhoA. This association facilitates the release of GTP-bound RhoA from SmgGDS-607, which induces
