line	section	text
4	UNKNOWN	Guangzhou, China. 2Department of Musculoskeletal Oncology, First Affiliated Hospital, Sun Yat-Sen University, Guangzhou, China. 3National Institute
5	UNKNOWN	of Biological Sciences, Beijing, China. 4Department of Clinical Oncology, The University of Hong Kong, Hong Kong, China. 5School of Materials Science
6	UNKNOWN	and Engineering, Sun Yat-sen University, Guangzhou, China. 6Institute of Functional Nano and Soft Materials (FUNSOM) and Collaborative Innovation
7	UNKNOWN	Center of Suzhou Nano Science and Technology, Soochow University, Suzhou, China. 7These authors contributed equally: Dan Liao, Li Zhong, Junqiang Yin.
13	UNKNOWN	60–70% 5-yr-survival rate, this number drops to 20% for metastatic
14	UNKNOWN	cases1–5. Osteosarcoma is characterized by marked instability of its
16	UNKNOWN	mosomal aneuploidy and chromosomal rearrangements6–12. The
21	UNKNOWN	sor genes including TP536,13 and ATRX7,9,14,15. There are no therapies
24	UNKNOWN	gets for other cancer types in the clinic16–19.
30	UNKNOWN	osteosarcoma are derived from exons only20,21. Nevertheless, chro-
32	UNKNOWN	potential to promote metastasis22. Owing to variation in recombina-
39	UNKNOWN	acids 1–38 of the trafficking-related Rab22a protein (Rab22a1–38)
40	UNKNOWN	with inverted introns and untranslated regions of chromosome 20
43	UNKNOWN	promote osteosarcoma lung metastasis—as Rab22a-NeoFs. The
44	UNKNOWN	Rab22a1–38 moiety exhibits constitutive binding to SmgGDS-607
46	UNKNOWN	metastasis. Rab22a-NeoF1-mediated lung metastasis was abrogated
48	UNKNOWN	targets the interaction with SmgGDS-607.
51	Results	rant Rab22a as the driver for osteosarcoma lung metastasis. To
55	Results	sarcoma from the primary site and skip metastases23, respectively,
56	Results	as well as the osteosarcoma cell lines HOS, MNNG-HOS, U2OS,
57	Results	MG63, 143B, U2OS/MTX300 and SaOS224,25; hFOB1.19, the normal
62	Results	transcripts related to RAB22A which we called RAB22A-NeoF1–6;
63	Results	these transcripts contain the first two exons of RAB22A, which
64	Results	encode the first 38 amino acids of Rab22a and multiple inverted
65	Results	non-coding regions of chromosome 20 (Fig. 1a). The six fusion
68	Results	Rab22a drives metastasis of osteosarcoma
69	Results	Dan Liao   1,7, Li Zhong   1,7, Junqiang Yin   2,7, Cuiling Zeng   1, Xin Wang1, Xingchuan Huang   3,
70	Results	Jinna Chen   4, Hong Zhang1, Ruhua Zhang1, Xin-Yuan Guan   1,4, Xintao Shuai5, Jianhua Sui   3,
71	Results	Song Gao   1, Wuguo Deng1, Yi-Xin Zeng   1, Jing-Nan Shen   2 ✉, Jian Chen   6 ✉ and Tiebang Kang   1 ✉
75	Results	that juxtapose the coding region for amino acids 1–38 of Rab22a (Rab22a1–38) with multiple inverted introns and untranslated
76	Results	regions of chromosome 20. The resulting translation products, designated Rab22a-NeoFs, acquire the ability to drive lung
77	Results	metastasis of osteosarcoma. The Rab22a1–38 moiety governs the function of Rab22a-NeoFs by binding to SmgGDS-607, a GTP–
78	Results	GDP exchange factor of RhoA. This association facilitates the release of GTP-bound RhoA from SmgGDS-607, which induces
79	Results	increased activity of RhoA and promotes metastasis. Disrupting the interaction between Rab22a-NeoF1 and SmgGDS-607 with
86	Results	(RT–PCR) (Extended Data Fig. 1a). Whole-genome sequencing
87	Results	of ZOS and ZOS-M cells revealed that the RAB22A region was
89	Results	(Extended Data Fig. 1b,c). These fusions were derived from chro-
91	Results	20 and chromosome 8 (Supplementary Table 1), which are similar to
92	Results	many of the EWSR1-ETS fusions associated with Ewing sarcoma26,27.
94	Results	when these fusion transcripts were overexpressed in 143B and U2OS/
95	Results	MTX300 cells (Extended Data Fig. 1d–f). To determine the fre-
96	Results	quency of RAB22A-NeoF1–6 fusions in osteosarcoma, we screened
97	Results	97 clinical samples using RT–PCR to find two that harboured simi-
99	Results	was RAB22A-NeoF1 and the other was RAB22A-NeoF6 (Fig. 1b,c).
100	Results	Notably, 2 out of 37 (5.4%) osteosarcoma samples from patients
101	Results	with metastasis were positive for RAB22A-NeoF fusion transcripts,
102	Results	but all 60 osteosarcoma samples from patients without metastasis
103	Results	were negative for the transcripts. The 2 RAB22A-NeoF-positive
104	Results	patients had a median survival time of 9.5 months, whereas the 35
105	Results	RAB22A-NeoF-negative patients with metastasis had a median sur-
106	Results	vival time of 19 months (Supplementary Table 2).
107	Results	Since Rab22a-NeoF1–6 all contain Rab22a1–38, this suggests that
108	Results	residues 1–38 of Rab22a are crucial for their functions. Indeed,
109	Results	when stably expressed in 143B or U2OS/MTX300 cells, Rab22a1–38,
110	Results	Rab22a1–38 conjugated to green fluorescent protein (Rab22a1–38–
111	Results	GFP) and Rab22a-NeoF1 (the longest fusion transcript) promoted
112	Results	cell migration and invasion, but not cell proliferation (Fig. 1d
113	Results	and Extended Data Fig. 1g). Furthermore, using these stable cell
115	Results	Rab22a-NeoF1, Rab22a1–38 and Rab22a1–38–GFP promoted lung
117	Results	number of metastatic nodules in lungs (Fig. 1e–g and Extended Data
118	Results	Fig. 1h) and decreased the survival time of mice (Extended Data
119	Results	Fig. 1i,j). Similarly, Rab22a-NeoF2, Rab22a-NeoF3, Rab22a-NeoF4,
120	Results	Rab22a-NeoF5 and Rab22a-NeoF6 were able to drive lung metasta-
121	Results	ses of 143B cells stably expressing these fusion genes in this ortho-
122	Results	topic model of metastasis (Fig. 2a–d). These results demonstrate
123	Results	that Rab22a1–38 determines the functions of Rab22a-NeoF1–6 and
127	Results	fusions involving RAB22A in the cBio data portal, one of which
128	Results	has Rab22a1–38 fused to neurogenic differentiation factor 2 (neu-
129	Results	roD2) (Supplementary Table 3). A search of the Cancer Cell Line
130	Results	Encyclopedia (CCLE) RNA-seq dataset showed that the BT-474
131	Results	breast cancer cell line and HCC2935 lung cancer cell line contain
132	Results	fusions of RAB22A1–38 with MYO9B and TEF, respectively (hereafter
133	Results	referred to as RAB22A-MYO9B and RAB22A-TEF; Supplementary
134	Results	Table 4); this was further validated by RT–PCR and Sanger sequenc-
135	Results	ing (Fig. 2e). Using specific short interfering RNAs (siRNAs) or
136	Results	short hairpin RNAs (shRNAs) targeting the RAB22A-MYO9B
137	Results	and RAB22A-TEF sequences to knock down these fusion genes in
138	Results	BT-474 cells and HCC2935 cells, respectively (Fig. 2f–i), reduced
139	Results	cell migration and invasion (Fig. 2j). Lung metastases of BT-474 cells
140	Results	were also decreased when RAB22A-MYO9B was knocked down in
141	Results	a tail-vein-injection model (Fig. 2k–m). These results indicate that
142	Results	fusion genes that encode Rab22a1–38 occur and drive metastasis in
144	Results	RAB22A-NeoF1 is required for lung metastasis of osteosarcoma.
145	Results	Overexpression of the six Rab22a-NeoFs in U2OS cells revealed
146	Results	that the protein products of RAB22A-NeoF1 and RAB22A-NeoF5
147	Results	were more stable than those of RAB22A-NeoF2, RAB22A-NeoF3,
148	Results	RAB22A-NeoF4 and RAB22A-NeoF6, which were more eas-
150	Results	Fig. 2a). As RAB22A-NeoF1 and RAB22A-NeoF2 accounted for the
151	Results	majority of reads of RAB22A-NeoF1–6 transcripts (Extended Data
152	Results	Fig. 2b), the functions of endogenous RAB22A-NeoFs are likely to
153	Results	be dominated by RAB22A-NeoF1 in both ZOS and ZOS-M cells,
154	Results	although endogenous Rab22a-NeoF2–6 proteins were also detect-
155	Results	able in both cell types (Extended Data Fig. 2c). Therefore, we
156	Results	selected RAB22A-NeoF1 for further investigation in this study.
157	Results	We amplified full-length RAB22A-NeoF1 by 3′ and 5′ rapid
159	Results	ing sequence for Rab22a1–38 and inverted intron sequences from
160	Results	between exon 1 and exon 2 of DOK5. The predicted open read-
161	Results	ing frame corresponds to a coding sequence for 186 amino acids
